point_id,robust_z,score,x,y,rating,parent_asin
43012,31.39136385170557,1.555868449499768,5.5539465,-17.25299,4.0,B082CYZSJZ
43014,31.32991980084218,1.5530197197523163,5.545199,-17.242456,4.0,B082D4L627
43007,31.249466135619343,1.5492896474964784,5.551485,-17.242683,4.0,B082CZ96W9
43006,30.815327525702585,1.5291616846553415,5.560191,-17.223896,4.0,B082CZ3R55
43015,30.758975871581498,1.5265490536331818,5.552323,-17.21423,4.0,B082CJ19WL
43009,30.59923438436706,1.5191429610963842,5.5439487,-17.197805,4.0,B082D62XGG
43010,30.536489674182036,1.5162339288973725,5.547324,-17.196821,4.0,B082DBBRCY
43011,30.319154416435843,1.5061576171110906,5.54701,-17.183462,4.0,B082D95KNW
43008,30.153456816263425,1.4984753813850964,5.5457635,-17.172382,4.0,B082CZJT9S
43013,30.090086293842138,1.4955373346613468,5.543851,-17.16691,4.0,B082D3SJSV
20560,18.30337686197752,0.9490702754211251,5.9953647,3.0855863,4.0,B06Y1HKTKM
10628,17.85882684851017,0.9284596088098016,-11.719441,5.303208,5.0,B002EF5HDO
48199,17.474583437337206,0.910644936432415,-16.340998,13.682634,4.0,B01LZJGEI2
34609,15.989793255788213,0.841805628159803,0.53354645,-10.185636,3.0,B01NBTFNVA
7417,15.823586851541124,0.8340998027569764,0.35080114,-10.07239,5.0,B07KGVB6D6
48865,15.13895597868431,0.8023582703201372,0.49936843,-9.384006,5.0,B07FLH7VLQ
26187,14.86845930017214,0.7898172362600985,-0.7747997,-4.7331862,5.0,B08KHN8TPP
3992,14.007825079210287,0.7499156628371485,3.4380178,3.4213078,5.0,B0BG7KP5L4
67,13.626724557373908,0.7322467041980372,-5.788857,9.465295,5.0,B0733GXPYZ
17031,13.498513300549838,0.7263024473311689,-5.518996,0.50917137,5.0,B0BQ3VKQG9
34295,13.401094496317134,0.7217858205515332,5.1299734,3.1259747,1.0,B00EY50MKK
25751,13.36590071881568,0.7201541318935621,0.28061032,-10.6568985,3.0,B07H9YX94V
39624,13.226059550421553,0.7136706775847231,-5.7954335,9.447268,5.0,B01MQGLIKL
47264,13.095688675116735,0.707626294353743,7.759867,-7.4377666,4.0,B084FSZ62Q
12617,13.053927080317345,0.7056901020660543,-5.8390703,9.442008,5.0,B001AH8BGW
48143,12.938113797990162,0.7003206523328491,0.80148154,-10.570428,5.0,B08XVF418R
25617,12.914150850879832,0.6992096585212336,-6.7534466,2.019172,1.0,B01AQAUH92
14854,12.888679827934915,0.6980287458089104,0.7134377,-9.989524,4.0,B07JGJC65P
10395,12.88202698227476,0.6977203000103184,-5.8302746,9.433693,5.0,B07RYL23GD
34494,12.817903830338265,0.6947473591339429,-5.472093,0.50849867,5.0,B00CTUXKWY
41522,12.787862856707395,0.6933545698561828,-4.757358,1.3509438,5.0,B01KH0XS7Y
29276,12.771206598046717,0.6925823359480797,0.4044585,-8.884591,5.0,B08F9ZCTCL
12618,12.65182285508911,0.6870473489941497,-5.803802,9.421284,5.0,B07R1LJ492
17716,12.6106278365506,0.6851374248744266,4.178445,-7.9927526,5.0,B09DK9SL1S
42195,12.599358806115456,0.6846149589599166,-5.818654,9.419941,5.0,B077T6JB31
29636,12.57944314292352,0.6836916093210519,-4.4741383,1.4203688,5.0,B006Z1KBES
4171,12.564215205047605,0.6829855966312975,-5.8324094,9.419038,5.0,B07H65KP63
27970,12.516717239509195,0.6807834490601105,3.4249449,3.9009607,5.0,B06WD61CF5
43167,12.459553935453467,0.6781331875223705,6.1578994,-8.127297,3.0,B07H8G4DQX
12614,12.443523892680243,0.6773899868534801,-5.8402147,9.41373,5.0,B007Z85CFS
16048,12.414481938293806,0.6760435150922233,-11.1532755,5.030482,5.0,B0B2DD1SC2
